id,status,duration,message
tests/test.py::test_get_users,passed,0.059133599999768194,
tests/test.py::test_get_users_paginated,passed,0.12707319999753963,
tests/test.py::test_get_user_with_posts,passed,0.06815920000008191,
tests/test.py::test_create_post,passed,0.1054247000029136,
tests/test.py::test_update_post,passed,0.22794680000151857,
tests/test.py::test_delete_post,passed,0.25115460000233725,
tests/test.py::test_get_user_not_found,passed,0.06870080000226153,
tests/test.py::test_create_post_user_not_found,passed,0.10992059999989579,
tests/test.py::test_create_post_blank_title,passed,0.021843599999556318,
tests/test.py::test_create_post_title_too_long,passed,0.0036189999991620425,
tests/test.py::test_create_post_content_too_long,passed,0.0022525000022142194,
tests/test.py::test_update_post_not_found,passed,0.1120864000004076,
tests/test.py::test_delete_post_not_found,passed,0.05821210000067367,
tests/test.py::test_reset_db_restores_initial_state,passed,0.8288025999972888,
tests/test.py::test_seed_db_with_custom_number,passed,0.018246600000566104,
tests/test.py::test_seed_db_max_limit,passed,1.2170155999992858,
tests/test.py::test_seed_db_invalid_limit,passed,0.006195400001161033,
tests/test.py::test_get_users_paginated_invalid_values[page=0&limit=20],passed,0.0027331999990565237,
tests/test.py::test_get_users_paginated_invalid_values[page=-1&limit=20],passed,0.00352030000067316,
tests/test.py::test_get_users_paginated_invalid_values[page=1&limit=0],passed,0.0017908999980136286,
tests/test.py::test_get_users_paginated_invalid_values[page=1&limit=-5],passed,0.002522099999623606,
tests/test.py::test_get_user_id_must_be_integer,passed,0.0016787999993539415,
tests/test.py::test_create_post_missing_required_fields[payload0-user_id],passed,0.0054841999990458135,
tests/test.py::test_create_post_missing_required_fields[payload1-title],passed,0.003149899999698391,
tests/test.py::test_create_post_missing_required_fields[payload2-content],passed,0.002155099999072263,
tests/test.py::test_create_post_invalid_user_id_type,passed,0.002094399998895824,
tests/test.py::test_update_post_blank_title_should_fail,passed,0.10837289999835775,
tests/test.py::test_update_post_content_too_long_should_fail,passed,0.11200409999946714,
tests/test.py::test_update_post_id_must_be_integer,passed,0.0023664000000280794,
tests/test.py::test_delete_post_id_must_be_integer,passed,0.0017062000006262679,
tests/test.py::test_delete_post_twice_second_attempt_should_fail,passed,0.24365680000119028,
tests/test.py::test_deleted_post_cannot_be_updated,passed,0.2886865000000398,
tests/test.py::test_invalid_seed_request_should_not_change_database,passed,0.004726499999378575,
tests/test_extended.py::test_health_response_has_typed_operational_fields,passed,0.0020225000007485505,
tests/test_extended.py::test_response_generates_valid_request_id,passed,0.0016876000008778647,
tests/test_extended.py::test_response_preserves_supplied_request_id,passed,0.0018708999996306375,
tests/test_extended.py::test_error_injection_forces_server_error,passed,0.002950600002805004,
tests/test_extended.py::test_health_remains_available_during_error_injection,passed,0.002561599998443853,
tests/test_extended.py::test_reset_disables_error_injection,passed,0.7123610000016924,
tests/test_extended.py::test_seed_accepts_minimum_user_count,passed,0.007543100000475533,
tests/test_extended.py::test_seed_is_deterministic,passed,0.13041560000056052,
tests/test_extended.py::test_seed_updates_pagination_metadata,passed,0.09898030000113067,
tests/test_extended.py::test_pagination_beyond_last_page_returns_empty_data,passed,0.06667300000117393,
tests/test_extended.py::test_pagination_accepts_maximum_limit,passed,0.06661700000040582,
tests/test_extended.py::test_paginated_users_preserve_identifier_order,passed,0.06877209999947809,
tests/test_extended.py::test_user_posts_have_expected_schema,passed,0.06963370000084979,
tests/test_extended.py::test_create_post_increments_database_metrics,passed,0.11598870000307215,
tests/test_extended.py::test_create_post_accepts_maximum_title_length,passed,0.11726910000288626,
tests/test_extended.py::test_create_post_accepts_maximum_content_length,passed,0.11330110000199056,
tests/test_extended.py::test_create_post_rejects_empty_content,passed,0.0027709999994840473,
tests/test_extended.py::test_create_post_rejects_malformed_json,passed,0.0021472999978868756,
tests/test_extended.py::test_update_post_accepts_maximum_title_length,passed,0.2246337999968091,
tests/test_extended.py::test_update_post_accepts_maximum_content_length,passed,0.22427819999938947,
tests/test_extended.py::test_update_post_rejects_missing_content,passed,0.0021919999999227002,
tests/test_extended.py::test_delete_post_decrements_database_metrics,passed,0.17768639999849256,
tests/test_extended.py::test_missing_delete_does_not_change_database_metrics,passed,0.060923599998204736,
tests/test_extended.py::test_large_payload_accepts_minimum_size,passed,0.12065209999855142,
tests/test_extended.py::test_large_payload_rejects_non_integer_size,passed,0.001592499997059349,
tests/test_extended.py::test_slow_data_rejects_invalid_delay_values[0.49],passed,0.0047420000009879,
tests/test_extended.py::test_slow_data_rejects_invalid_delay_values[5.01],passed,0.002629899998282781,
tests/test_extended.py::test_slow_data_rejects_invalid_delay_values[not-a-number],passed,0.0016104000023915432,
tests/test_extended.py::test_openapi_documents_all_research_endpoints,passed,0.031139700000494486,
tests/test_extended.py::test_cors_preflight_allows_configured_frontend,passed,0.0028014999988954514,
tests/test_extended.py::test_concurrent_read_requests_preserve_consistent_user,passed,0.0653766999967047,
tests/test_extended.py::test_reset_recreates_the_same_database_counts,passed,0.7712610999988101,
tests/test_self_healing.py::test_normalize_parameterized_test_id,passed,0.00021209999977145344,
tests/test_self_healing.py::test_patch_preserves_decorators_signature_and_sibling_code,passed,0.025832399998762412,
tests/test_self_healing.py::test_typed_client_signature_is_preserved_without_blocking_safe_repair,passed,0.0035337000008439645,
tests/test_self_healing.py::test_unsafe_or_weakened_candidate_is_rejected[def test_other():\n    value = 1\n    assert value == 2\n-name],passed,0.0014924999995855615,
tests/test_self_healing.py::test_unsafe_or_weakened_candidate_is_rejected[def test_target():\n    import os\n    value = 1\n    assert value == 2\n-Forbidden construct],passed,0.0005352999978640582,
